Video_id,Start_Time,End_Time,Spatial,Informational,Experiential,Causality
w8uHwFCHiE0,306,316,,dog_like_mammal,,
w8uHwFCHiE0,306,316,,rabbit,,
w8uHwFCHiE0,306,316,,fauna,,
w8uHwFCHiE0,306,316,,dog_breed,,
w8uHwFCHiE0,306,316,,dog,,
w8uHwFCHiE0,306,316,,fur,,
w8uHwFCHiE0,306,316,,angora,,
w8uHwFCHiE0,306,316,,leg,,
w8uHwFCHiE0,306,316,,nose,,
w8uHwFCHiE0,306,316,,finger,,
w8uHwFCHiE0,306,316,,dog_breed_group,,
w8uHwFCHiE0,306,316,,nail,,
w8uHwFCHiE0,306,316,,hand,,
w8uHwFCHiE0,306,316,,skin,,
w8uHwFCHiE0,306,316,,petting_cat,,
w8uHwFCHiE0,306,316,,foot,,
w8uHwFCHiE0,306,316,,whiskers,,
w8uHwFCHiE0,306,316,,mammal,,
w8uHwFCHiE0,306,316,,small_to_medium_sized_cats,,
w8uHwFCHiE0,306,316,,vertebrate,,
w8uHwFCHiE0,306,316,,cat,,
w8uHwFCHiE0,306,316,,white,,
aqyVzWfPLdo,4,14,,winter,,
aqyVzWfPLdo,4,14,,ice,,
aqyVzWfPLdo,4,14,,winter_sport,,
aqyVzWfPLdo,4,14,rink,,,
aqyVzWfPLdo,4,14,,speedskater,,
aqyVzWfPLdo,4,14,,,recreation,
aqyVzWfPLdo,4,14,,bandy,,
aqyVzWfPLdo,4,14,,,skating,
aqyVzWfPLdo,4,14,,,speed_skating,
aqyVzWfPLdo,4,14,,snow,,
aqyVzWfPLdo,4,14,,ice_skate,,
aqyVzWfPLdo,4,14,,,ice_skating,
aqyVzWfPLdo,4,14,,fun,,
aqyVzWfPLdo,4,14,ice_rink,,,
0lOnTdl9PP8,433,443,,picture_frame,,
0lOnTdl9PP8,433,443,,nail_care,,
0lOnTdl9PP8,433,443,,square,,
0lOnTdl9PP8,433,443,,manicure,,
0lOnTdl9PP8,433,443,floor,,,
0lOnTdl9PP8,433,443,,design,,
0lOnTdl9PP8,433,443,,,ring,
0lOnTdl9PP8,433,443,,text,,
0lOnTdl9PP8,433,443,,material,,
0lOnTdl9PP8,433,443,,art,,
0lOnTdl9PP8,433,443,,font,,
0lOnTdl9PP8,433,443,,arm,,
0lOnTdl9PP8,433,443,,toe,,
0lOnTdl9PP8,433,443,,paper,,
0lOnTdl9PP8,433,443,,wrist,,
0lOnTdl9PP8,433,443,,sandal,,
0lOnTdl9PP8,433,443,,product,,
0lOnTdl9PP8,433,443,,shoe,,
0lOnTdl9PP8,433,443,,leg,,
0lOnTdl9PP8,433,443,,triangle,,
0lOnTdl9PP8,433,443,,finger,,
0lOnTdl9PP8,433,443,,footwear,,
0lOnTdl9PP8,433,443,,nail,,
0lOnTdl9PP8,433,443,,hand,,
0lOnTdl9PP8,433,443,,jewellery,,
0lOnTdl9PP8,433,443,,brand,,
0lOnTdl9PP8,433,443,,foot,,
0lOnTdl9PP8,433,443,,angle,,
E65cVBcCjAs,27,37,,,dance,
E65cVBcCjAs,27,37,,,choreography,
E65cVBcCjAs,27,37,,,recreation,
E65cVBcCjAs,27,37,,girl,,
E65cVBcCjAs,27,37,,,modern_dance,
E65cVBcCjAs,27,37,,,fun,
E65cVBcCjAs,27,37,,,event,
E65cVBcCjAs,27,37,musical_theatre,,,
E65cVBcCjAs,27,37,,public_event,public_event,
E65cVBcCjAs,27,37,,capoeira,capoeira,
E65cVBcCjAs,27,37,,theatre,theatre,
E65cVBcCjAs,27,37,,,competition,
E65cVBcCjAs,27,37,stage,,,
E65cVBcCjAs,27,37,,contact_sport,,
E65cVBcCjAs,27,37,,,performance,
E65cVBcCjAs,27,37,,dancer,,
E65cVBcCjAs,27,37,,entertainment,entertainment,
E65cVBcCjAs,27,37,,performance_art,,
E65cVBcCjAs,27,37,,performing_arts,,
E65cVBcCjAs,27,37,,acting,acting,
E65cVBcCjAs,27,37,,drama,drama,
E65cVBcCjAs,27,37,,little_theater,,
E65cVBcCjAs,27,37,,choreographer,,
E65cVBcCjAs,27,37,,competition_event,competition_event,
6frzZGignCo,51,61,,technology,,
6frzZGignCo,51,61,,shelf,,
6frzZGignCo,51,61,,building_cabinet,,
6frzZGignCo,51,61,,,shelving,
6frzZGignCo,51,61,,job,job,
6frzZGignCo,51,61,,product,,
6frzZGignCo,51,61,,electronic_device,,
6frzZGignCo,51,61,,furniture,,
